ORKADIÉRÉ,89,17,9
ORÉFONDÉ,1,28,9
OUADIOUR,90,11,3
OUAKAM,2,7,1
OUARKHOKH,31,25,8
OUASSADOU,91,45,6
OUBADJI,19,39,7
OUDALAYE,122,36,9
OUDOUCAR,25,41,11
OUKOUT,55,33,14
OULAMPANE,110,3,14
OUONCK,115,3,14
OUROSSOGUI,0,28,9
OUROUR,80,14,5
OUSSOUYE,0,33,14
PAKOUR,91,45,6
PALMARIN FACAO,33,9,3
PAMBAL,92,44,13
PANAL OUOLOF,80,14,5
PAOS KOTO,93,32,5
PARCELLES ASSAINIES,94,7,1
PAROUMBA,91,45,6
PASS KOTO,52,21,12
PASSY,29,10,3
PATA,84,31,6
PATAR LIA,90,11,3
PATAR,8,8,2
PATAR,82,9,3
PATTE D’OIE,94,7,1
PAYAR,52,21,12
PIKINE EST,95,34,1
PIKINE NORD,95,34,1
PIKINE OUEST,95,34,1
PIKINE,0,34,1,Ville
PIRE GOUREYE,92,44,13
PLATEAU,17,7,1
PODOR,0,35,10
POPENGUINE,109,30,13
POROKHANE,93,32,5
POUT,0,43,13
PÉKÈSSE,69,44,13
PÉTÉ OUARACK,48,26,8
PÉTÉ,103,35,10
RANÉROU,0,36,9
RIBOT ESCALE,56,22,4
RICHARD TOLL,0,6,10
RONKH,72,6,10
ROSS BÉTHIO,72,6,10
ROSSO SÉNÉGAL,72,6,10
RUFISQUE EST,97,37,1
RUFISQUE NORD,97,37,1
RUFISQUE OUEST,97,37,1
RUFISQUE,0,37,1,Ville
RÉFANE,54,2,2
SABODALA,98,40,7
SADATOU,53,1,12
SADIO,113,29,2
SAGATTA DJOLOF,99,25,8
SAGATTA GUETH,100,23,8
SAGNA,101,27,4
SAINT LOUIS,0,38,10
SAKAL,102,26,8
SAKAR,25,41,11
SALIKÉGNÉ,26,20,6
SALY ESCALE,39,22,4
SALY PORTUDAL,109,30,13
SALÉMATA,0,39,7
SAM NOTAIRE,104,15,1
SAM YABAL,21,23,8
SAMA KANTA PEULH,25,41,11
SAMINE,28,13,11
SAN SAMBA,27,41,11
SANDIARA,111,30,13
SANGALKAM,105,37,1
SANTHIABA MANJACK,14,33,14
SARAYA,0,40,7
SARÉ BIDJI,106,20,6
SARÉ COLY SALLÉ,107,45,6
SARÉ YOBA DIÉGA,26,20,6
SEMMÉ,89,17,9
SENDOU,0,37,1
SIBASSOR,78,18,5
SICAP LIBERTÉ,38,7,1
SIMBANDI BALANTE,28,13,11
SIMBANDI BRASSOU,108,13,11
SINDIA,109,30,13
SINDIAN,110,3,14
SINTHIANG KOUNDARA,11,45,6
SINTHIOU BAMAMBÉ BANADJI,125,17,9
SINTHIOU BOCAR ALY,49,12,12
SINTHIOU FISSA,13,1,12
SINTHIOU MALÈME,51,42,12
SINTHIOU MAMADOU BOUBOU,12,12,12
SOKONE,0,10,3
SOMONE,109,30,13
SOUM,29,10,3
SUELLE,110,3,14
SYER,46,26,8
SÉBIKOTANE,22,37,1
SÉDHIOU,0,41,11
SÉGRÉ GATTA,57,4,4
SÉSSÈNE,111,30,13
TAIBA MOUTOUPHA,73,8,2
TAIBA NDIAYE,68,44,13
TAIBA THIÉKÈNE,41,29,2
TAMBACOUNDA,0,42,12
TANAFF,108,13,11
TANKANTO ESCALE,26,20,6
TANKON,9,5,11
TASSETTE,86,43,13
TATTAGUINE,112,9,3
TAÏBA NIASSÈNE,93,32,5
TAÏF,113,29,2
TENGHORI,115,3,14
THIADIAYE,111,30,13
THIAKHAR,79,2,2
THIAMÈNE CAYOR,48,26,8
THIAMÈNE PASS,99,25,8
THIARGNY,7,25,8
THIAROYE GARE,116,34,1
THIAROYE SUR MER,116,34,1
THIARÉ NDIALGUI,74,9,3
THIARÉ,50,18,5
THIEL,7,25,8
THIEPPE,71,23,8
THILMAKHA,83,44,13
THILOGNE,1,28,9
THIOLOM FALL,100,23,8
THIOMBY,78,18,5
THIONCK ESSYL,0,3,14
THIÈS EST,119,43,13
THIÈS NORD,118,43,13
THIÈS OUEST,119,43,13
THIÈS,0,43,13,Ville
THIÉNABA,120,43,13
THIÉTTY,106,20,6
TIVAOUANE DIACKSAO,116,34,1
TIVAOUANE PEULH / NIAGA,105,37,1
TIVAOUANE,0,44,13
TOCKY GARE,8,8,2
TOMBORONCOTO,6,24,7
TOUBA FALL,70,29,2
TOUBA LAPPÉ,73,8,2
TOUBA MBELLA,45,4,4
TOUBA MBOUL,41,29,2
TOUBA MOSQUÉE,70,29,2
TOUBA MÉRINA,21,23,8
TOUBA TOUL,120,43,13
TOUBACOUTA,121,10,3
TOUMBOURA,53,1,12
TOURÉ MBONDÉ,8,8,2
TÉSSÉKÉRÉ FORAGE,126,25,8
VÉLINGARA,122,36,9
VÉLINGARA,0,45,6
WACK NGOUNA,123,32,5
WAKHINANE NIMZATT,124,15,1
WALALDÉ,15,35,10
WAOUNDÉ,89,17,9
WOURO SIDY,125,17,9
YANG YANG,126,25,8
YARANG BALANTE,28,13,11
YENNE,22,37,1
YEUMBEUL NORD,127,19,1
YEUMBEUL SUD,127,19,1
YOFF,2,7,1
ZIGUINCHOR,0,46,14
